iso3,country,ai_publications,pub_year,researchers_per_million,researchers_year,population,total_researchers,top500_systems,gdp_pc_ppp
ETH,Ethiopia,474.0,2024,89.03843,2017,132059767.0,11758.39431984581,0,2892.22220168264
FIN,Finland,1512.0,2024,8314.89822,2023,5619911.0,46728.98797045841,3,56123.1479579839
FRA,France,7681.0,2024,5368.63555,2023,68551653.0,368028.84130706417,22,54799.3482689389
GBR,United Kingdom,15494.0,2024,4472.69458,2017,69226000.0,309626.75499508,9,52621.1790252979
GEO,Georgia,69.0,2024,1895.99928,2024,3699557.0,7014.357408318961,0,24883.9081161639
GHA,Ghana,277.0,2024,87.47972,2015,34427414.0,3011.7005370440797,0,7055.62496009323
GMB,Gambia,5.0,2024,50.8608,2018,2759988.0,140.37519767039998,0,3057.68417746891
GRC,Greece,2011.0,2024,5283.3671,2023,10405134.0,54974.142646691405,0,37474.2798239947
GTM,Guatemala,20.0,2024,1.44569,2023,18406359.0,26.60988914271,0,12640.8875023146
HND,Honduras,33.0,2024,187.83669,2019,10825703.0,2033.46421844307,0,6585.85535717861
HRV,Croatia,435.0,2024,2440.27743,2023,3866200.0,9434.600599866,0,42829.1978370384
HUN,Hungary,918.0,2024,4567.0829,2023,9562065.0,43670.7435501885,0,40686.9319263343
IDN,Indonesia,6750.0,2024,395.34168,2020,283487931.0,112074.59490126408,0,14470.4372020578
IND,India,52054.0,2024,259.26325,2020,1450935791.0,376174.32871598075,6,9818.04270686639
IRL,Ireland,1430.0,2024,5752.79698,2023,5395790.0,31040.884416714198,0,119037.731175443
IRN,Iran,2968.0,2024,2239.74005,2021,91567738.0,205087.9300865069,0,17484.1320140467
IRQ,Iraq,2787.0,2024,164.28484,2021,46042015.0,7564.0050675526,0,12725.0431260393
ISL,Iceland,88.0,2024,5952.52033,2023,386506.0,2300.6848226669804,1,67310.0573573616
ITA,Italy,9123.0,2024,2855.12509,2023,58952704.0,168317.34431374335,18,53265.0032474189
JOR,Jordan,1175.0,2024,576.00927,2017,11552876.0,6654.56367116052,0,9520.25064497454
JPN,Japan,10873.0,2024,5608.63075,2023,123975371.0,695332.0780332583,43,46106.9229230044
KAZ,Kazakhstan,632.0,2024,758.00637,2024,20592571.0,15609.299992677268,2,35973.9633287017
KEN,Kenya,232.0,2024,384.02423,2024,56432944.0,21671.61786623312,0,5845.20117717825
KHM,Cambodia,43.0,2024,30.38923,2015,17638801.0,536.02958051323,0,7008.88934551726
KOR,South Korea,10265.0,2024,9471.82543,2023,51751065.0,490177.053496583,15,55070.9386194121
KWT,Kuwait,345.0,2024,144.75416,2024,4897263.0,708.8991918640801,0,46137.4674254845
LAO,Laos,5.0,2024,15.62884,2002,7769819.0,121.43325797996,0,8600.32454665553
LIE,Liechtenstein,12.0,2024,18129.75165,2023,40450.0,733.3484542425,0,
